person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп,2ПТС-10,,2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп СЗАП,8355,,1990,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Напівпричіп,1 ТВС-2,,1987,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп,2ПТС-4,,2007,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,"Трактор колісний ""Білорус""",892,,2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Трактор колісний ХТЗ,17021,,2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,"Трактор колісний ""Білорус""",320,,2008,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Трактор гусеничний ДТ,75 БВ,,2013,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Самохідне шасі,Т-16,,2007,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Бульдозер,Т-130,,2013,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
